Region,Percentage of Households Below 60% of the Median Income; (after housing costs)
London,26.093692777212613
North East,23.423823529411766
West Midlands,22.671292517006805
Wales,22.342926829268293
Yorkshire and The Humber,21.095375722543352
North West,20.660497835497836
East Midlands,20.042582897033157
East of England,18.945788043478263
South West,18.89657142857143
South East,18.82481949458484
